Gender,Age,Class,Section,Math_Score,Science_Score,English_Score,Attendance_Percentage,Study_Hours_per_Week,Internet_Access,Parental_Education,Family_Income,Extracurricular_Participation,Health_Issues,Assignment_Submission_Rate,Result,Exam_Year,Exam_Month,Exam_date,Exam_DayofWeek,Family_Income_log
male,15.0,12,B,35.0,15.0,14.0,77.72,25.0,yes,post_graduate,95000.0,sometimes,depression,0.44,fail,2020.0,July,21.0,Tuesday,11.461642696843066
unknown,16.0,10,A,41.0,56.0,50.0,43.19,39.0,yes,not_reported,145000.0,sometimes,asthma,0.52,pass,2024.0,May,17.0,Friday,11.884495917930655
female,17.0,11,D,49.0,25.0,95.0,73.82,0.0,no,not_reported,65000.0,no,asthma,0.84,fail,2021.0,September,27.0,Monday,11.082157933374816
female,17.0,11,B,11.0,71.0,99.0,69.19,34.0,yes,not_reported,55000.0,no,not_reported,0.74,pass,2020.0,March,16.0,Monday,10.915106645867503
unknown,16.0,11,B,42.0,64.0,27.0,99.74,29.0,yes,graduate,145000.0,sometimes,anxiety,0.61,pass,2022.0,June,28.0,Tuesday,11.884495917930655
female,18.0,12,C,80.0,91.0,38.0,83.85,3.0,no,post_graduate,65000.0,sometimes,anxiety,0.6,pass,2020.0,March,25.0,Wednesday,11.082157933374816
male,16.0,12,C,5.0,96.0,2.0,49.89,35.0,no,graduate,165000.0,sometimes,diabetes,0.84,pass,2024.0,June,18.0,Thursday,12.013706813470414
female,17.0,11,B,49.0,72.0,43.0,49.19,29.0,no,not_reported,105000.0,sometimes,not_reported,0.52,fail,2021.0,December,25.0,Saturday,11.561725152903833
male,17.0,11,B,55.0,0.0,25.0,72.16,20.0,no,post_graduate,20000.0,sometimes,diabetes,0.89,fail,2021.0,May,25.0,Tuesday,9.90353755128617
male,16.0,12,B,87.0,13.0,35.0,44.6,19.0,no,not_reported,110000.0,sometimes,depression,0.99,pass,2025.0,August,31.0,Sunday,11.608244735642321
unknown,17.0,10,B,74.0,45.0,43.0,65.11,39.0,yes,not_reported,85000.0,sometimes,not_reported,0.44,fail,2019.0,May,13.0,Monday,11.350418300109132
male,17.0,11,B,11.0,83.0,89.0,89.29,39.0,no,high_school,130000.0,sometimes,not_reported,0.79,pass,2025.0,December,9.0,Tuesday,11.775297421715827
male,17.0,10,C,58.0,24.0,100.0,67.89,18.0,yes,not_reported,90000.0,no,not_reported,0.74,fail,2023.0,October,2.0,Monday,11.407576060361786
male,16.0,12,A,50.0,71.0,39.0,96.68,36.0,no,graduate,90000.0,sometimes,asthma,0.65,pass,2023.0,April,7.0,Friday,11.407576060361786
female,17.0,11,D,92.0,51.0,23.0,87.32,11.0,yes,graduate,65000.0,yes,not_reported,0.14,fail,2022.0,November,14.0,Monday,11.082157933374816
male,17.0,11,C,7.0,94.0,52.0,99.74,11.0,no,post_graduate,135000.0,sometimes,not_reported,0.72,pass,2019.0,March,17.0,Sunday,11.813037464800539
male,17.0,11,A,2.0,52.0,7.0,96.29,38.0,no,post_graduate,185000.0,no,asthma,0.93,pass,2025.0,January,20.0,Monday,12.128116509451258
male,18.0,11,D,55.0,5.0,22.0,59.79,13.0,yes,post_graduate,145000.0,no,not_reported,0.6,fail,2024.0,January,14.0,Sunday,11.884495917930655
female,16.0,12,B,20.0,88.0,49.0,45.72,6.0,yes,not_reported,140000.0,sometimes,depression,0.4,fail,2024.0,March,29.0,Friday,11.849404844423074
unknown,16.0,12,B,69.0,52.0,15.0,70.3,11.0,no,not_reported,90000.0,sometimes,asthma,0.54,pass,2025.0,January,18.0,Saturday,11.407576060361786
female,17.0,11,C,21.0,49.0,92.0,73.7,38.0,no,post_graduate,50000.0,yes,asthma,0.57,pass,2022.0,September,12.0,Monday,10.819798284210286
female,17.0,10,C,96.0,48.0,6.0,65.38,30.0,yes,not_reported,110000.0,sometimes,asthma,0.25,fail,2019.0,December,18.0,Wednesday,11.608244735642321
male,17.0,11,B,51.0,12.0,62.0,61.24,14.0,no,post_graduate,180000.0,yes,not_reported,0.53,fail,2019.0,March,21.0,Thursday,12.100717685412471
male,17.0,11,B,97.0,17.0,12.0,79.98,40.0,no,graduate,9999999.0,yes,not_reported,0.01,fail,2022.0,January,16.0,Sunday,16.11809565095832
female,16.0,10,D,15.0,53.0,100.0,87.6,16.0,yes,graduate,110000.0,sometimes,depression,0.66,pass,2024.0,December,16.0,Monday,11.608244735642321
male,17.0,11,B,100.0,94.0,90.0,95.04,8.0,yes,not_reported,115000.0,no,anxiety,0.35,pass,2022.0,January,23.0,Sunday,11.652696102959753
male,16.0,12,B,50.0,37.0,22.0,85.69,20.0,yes,graduate,170000.0,yes,not_reported,0.35,pass,2022.0,September,6.0,Tuesday,12.04355959836804
female,17.0,11,B,51.0,95.0,4.0,40.67,20.0,yes,graduate,145000.0,sometimes,not_reported,0.1,fail,2019.0,June,28.0,Friday,11.884495917930655
male,17.0,11,D,83.0,97.0,9.0,78.88,6.0,no,post_graduate,25000.0,no,asthma,0.37,fail,2025.0,February,25.0,Tuesday,10.12667110305036
unknown,18.0,12,B,78.0,32.0,35.0,60.76,27.0,no,graduate,120000.0,yes,diabetes,0.85,fail,2023.0,June,24.0,Saturday,11.695255355062795
female,17.0,11,C,58.0,85.0,41.0,77.53,20.0,no,not_reported,100000.0,yes,not_reported,0.95,pass,2018.0,July,7.0,Saturday,11.51293546492023
male,17.0,10,A,58.0,31.0,86.0,60.18,25.0,no,post_graduate,35000.0,sometimes,not_reported,0.6,fail,2022.0,July,31.0,Sunday,10.463131911491967
male,16.0,12,A,97.0,79.0,49.0,74.45,31.0,yes,graduate,125000.0,no,not_reported,0.31,pass,2022.0,June,18.0,Saturday,11.736077016252437
unknown,18.0,10,A,21.0,15.0,38.0,43.91,20.0,no,not_reported,130000.0,sometimes,not_reported,0.07,fail,2024.0,May,26.0,Sunday,11.775297421715827
female,17.0,11,C,98.0,17.0,2.0,62.81,27.0,yes,not_reported,175000.0,yes,not_reported,0.46,fail,2022.0,May,22.0,Sunday,12.07254696717504
unknown,17.0,11,C,73.0,52.0,88.0,81.41,20.0,no,not_reported,140000.0,no,not_reported,0.48,fail,2024.0,June,20.0,Thursday,11.849404844423074
unknown,17.0,11,B,39.0,77.0,48.0,70.64,15.0,no,not_reported,155000.0,sometimes,anxiety,0.48,pass,2024.0,September,25.0,Wednesday,11.951186847493476
male,18.0,11,A,40.0,65.0,99.0,81.87,33.0,yes,graduate,155000.0,sometimes,not_reported,0.7,fail,2024.0,March,10.0,Sunday,11.951186847493476
male,17.0,11,C,3.0,11.0,39.0,61.26,26.0,yes,graduate,55000.0,no,depression,0.13,pass,2018.0,June,13.0,Wednesday,10.915106645867503
male,15.0,11,B,66.0,51.0,43.0,64.6,22.0,no,post_graduate,95000.0,sometimes,not_reported,0.05,pass,2018.0,July,27.0,Friday,11.461642696843066
unknown,16.0,12,B,87.0,35.0,89.0,78.38,3.0,yes,post_graduate,70000.0,sometimes,asthma,0.65,pass,2023.0,November,19.0,Sunday,11.156264806643742
female,16.0,12,A,89.0,100.0,18.0,92.53,34.0,no,post_graduate,185000.0,sometimes,not_reported,0.49,fail,2023.0,July,3.0,Monday,12.128116509451258
male,16.0,12,D,78.0,70.0,56.0,94.2,25.0,yes,post_graduate,135000.0,no,not_reported,0.01,fail,2024.0,October,25.0,Friday,11.813037464800539
female,17.0,11,B,26.0,85.0,6.0,63.68,21.0,yes,not_reported,175000.0,no,diabetes,0.5,fail,2022.0,November,12.0,Saturday,12.07254696717504
unknown,17.0,11,D,53.0,15.0,49.0,90.11,20.0,yes,not_reported,120000.0,sometimes,anxiety,0.61,fail,2022.0,March,22.0,Tuesday,11.695255355062795
male,17.0,10,B,87.0,17.0,72.0,79.94,32.0,yes,graduate,110000.0,sometimes,not_reported,0.32,fail,2024.0,June,9.0,Sunday,11.608244735642321
female,17.0,10,A,73.0,87.0,11.0,74.85,4.0,no,high_school,90000.0,sometimes,not_reported,0.64,fail,2025.0,April,28.0,Monday,11.407576060361786
female,17.0,10,D,69.0,39.0,47.0,78.17,11.0,yes,not_reported,130000.0,sometimes,anxiety,0.99,fail,2022.0,November,30.0,Wednesday,11.775297421715827
male,17.0,11,B,77.0,73.0,56.0,76.51,36.0,no,not_reported,95000.0,sometimes,not_reported,0.99,fail,2025.0,July,23.0,Wednesday,11.461642696843066
female,17.0,10,C,65.0,19.0,87.0,46.62,9.0,yes,not_reported,165000.0,no,not_reported,0.33,pass,2020.0,May,30.0,Saturday,12.013706813470414
unknown,16.0,12,D,27.0,40.0,21.0,90.57,28.0,no,not_reported,175000.0,sometimes,not_reported,0.58,fail,2024.0,June,8.0,Saturday,12.07254696717504
male,17.0,11,C,41.0,11.0,83.0,86.74,20.0,yes,post_graduate,145000.0,sometimes,asthma,0.84,pass,2019.0,January,31.0,Thursday,11.884495917930655
unknown,17.0,11,B,51.0,90.0,97.0,75.37,32.0,yes,post_graduate,160000.0,sometimes,asthma,0.53,pass,2025.0,October,28.0,Tuesday,11.982935344196433
female,16.0,12,B,21.0,88.0,57.0,71.04,22.0,yes,graduate,50000.0,sometimes,diabetes,0.36,pass,2020.0,July,23.0,Thursday,10.819798284210286
female,17.0,11,A,72.0,8.0,39.0,88.22,27.0,yes,post_graduate,185000.0,yes,diabetes,0.69,fail,2024.0,November,26.0,Tuesday,12.128116509451258
unknown,17.0,12,A,18.0,40.0,35.0,89.16,20.0,no,not_reported,30000.0,sometimes,not_reported,0.9,fail,2019.0,June,21.0,Friday,10.308985993422082
unknown,17.0,11,D,31.0,32.0,11.0,98.1,12.0,no,post_graduate,155000.0,yes,not_reported,0.29,fail,2018.0,May,29.0,Tuesday,11.951186847493476
female,18.0,12,C,15.0,28.0,59.0,46.15,35.0,no,not_reported,130000.0,no,asthma,0.04,pass,2023.0,July,29.0,Saturday,11.775297421715827
unknown,16.0,12,B,27.0,78.0,14.0,44.33,31.0,no,not_reported,145000.0,yes,asthma,0.82,pass,2023.0,June,5.0,Monday,11.884495917930655
female,17.0,11,B,97.0,94.0,50.0,58.18,20.0,no,not_reported,25000.0,sometimes,asthma,0.28,pass,2024.0,September,6.0,Friday,10.12667110305036
unknown,17.0,11,C,28.0,39.0,53.0,88.15,20.0,yes,post_graduate,90000.0,sometimes,depression,0.24,fail,2020.0,May,20.0,Wednesday,11.407576060361786
female,16.0,12,C,41.0,33.0,98.0,83.16,20.0,no,not_reported,180000.0,sometimes,not_reported,0.91,fail,2022.0,August,24.0,Wednesday,12.100717685412471
male,15.0,12,B,69.0,57.0,92.0,68.75,38.0,no,post_graduate,65000.0,sometimes,diabetes,0.77,fail,2024.0,January,21.0,Sunday,11.082157933374816
female,17.0,11,B,72.0,80.0,88.0,99.25,0.0,yes,high_school,35000.0,sometimes,anxiety,0.75,pass,2022.0,May,14.0,Saturday,10.463131911491967
unknown,16.0,12,B,63.0,24.0,25.0,94.83,27.0,no,not_reported,135000.0,sometimes,depression,0.3,pass,2024.0,January,7.0,Sunday,11.813037464800539
female,17.0,11,B,24.0,40.0,50.0,70.04,31.0,no,not_reported,170000.0,yes,asthma,0.93,fail,2023.0,March,1.0,Wednesday,12.04355959836804
male,16.0,12,B,97.0,93.0,75.0,52.92,12.0,yes,post_graduate,160000.0,sometimes,asthma,0.3,pass,2020.0,August,25.0,Tuesday,11.982935344196433
male,17.0,11,B,39.0,97.0,90.0,65.47,10.0,no,post_graduate,130000.0,sometimes,depression,0.33,fail,2019.0,April,9.0,Tuesday,11.775297421715827
female,16.0,11,B,17.0,0.0,42.0,72.46,16.0,no,graduate,75000.0,sometimes,diabetes,0.95,pass,2021.0,December,30.0,Thursday,11.225256725762893
female,15.0,12,D,88.0,52.0,46.0,49.48,35.0,no,post_graduate,85000.0,yes,diabetes,0.36,pass,2025.0,July,29.0,Tuesday,11.350418300109132
male,17.0,10,B,89.0,70.0,41.0,57.89,20.0,no,not_reported,90000.0,sometimes,diabetes,0.03,pass,2024.0,June,18.0,Thursday,11.407576060361786
male,17.0,12,C,71.0,76.0,7.0,67.23,17.0,no,graduate,165000.0,sometimes,depression,0.3,fail,2022.0,January,20.0,Thursday,12.013706813470414
male,16.0,12,B,44.0,100.0,78.0,66.09,20.0,no,post_graduate,155000.0,sometimes,depression,0.15,pass,2021.0,October,3.0,Sunday,11.951186847493476
unknown,17.0,11,A,11.0,99.0,100.0,67.35,4.0,no,not_reported,105000.0,no,depression,0.48,fail,2019.0,August,12.0,Monday,11.561725152903833
male,16.0,12,A,13.0,47.0,23.0,82.77,20.0,no,high_school,105000.0,sometimes,diabetes,0.19,pass,2021.0,December,9.0,Thursday,11.561725152903833
female,17.0,11,B,13.0,14.0,92.0,82.33,36.0,yes,graduate,135000.0,sometimes,not_reported,0.92,pass,2024.0,May,12.0,Sunday,11.813037464800539
female,16.0,12,D,34.0,48.0,13.0,41.51,14.0,yes,post_graduate,180000.0,yes,not_reported,0.34,fail,2025.0,June,11.0,Wednesday,12.100717685412471
female,16.0,12,A,94.0,96.0,22.0,96.66,20.0,no,not_reported,95000.0,sometimes,not_reported,0.27,fail,2019.0,June,4.0,Tuesday,11.461642696843066
male,16.0,12,B,61.0,41.0,96.0,51.97,20.0,yes,graduate,105000.0,sometimes,diabetes,0.33,pass,2024.0,March,26.0,Tuesday,11.561725152903833
unknown,17.0,11,C,72.0,61.0,27.0,93.56,31.0,no,graduate,115000.0,sometimes,diabetes,0.85,fail,2020.0,October,5.0,Monday,11.652696102959753
female,17.0,11,A,22.0,47.0,9.0,96.21,1.0,no,not_reported,195000.0,sometimes,depression,0.18,pass,2024.0,October,18.0,Friday,12.180759965737863
female,17.0,11,A,92.0,2.0,99.0,93.56,20.0,yes,graduate,70000.0,no,anxiety,0.81,fail,2021.0,July,4.0,Sunday,11.156264806643742
female,17.0,11,D,68.0,33.0,74.0,94.71,27.0,no,not_reported,175000.0,sometimes,asthma,0.27,fail,2024.0,February,10.0,Saturday,12.07254696717504
male,17.0,11,A,79.0,47.0,56.0,69.64,0.0,no,graduate,50000.0,sometimes,asthma,0.39,fail,2018.0,March,25.0,Sunday,10.819798284210286
male,15.0,12,A,27.0,93.0,82.0,62.97,25.0,no,post_graduate,35000.0,sometimes,not_reported,0.18,fail,2025.0,July,16.0,Wednesday,10.463131911491967
male,17.0,11,B,70.0,98.0,35.0,84.9,1.0,yes,not_reported,120000.0,sometimes,not_reported,0.35,pass,2025.0,August,9.0,Saturday,11.695255355062795
unknown,16.0,12,A,7.0,40.0,29.0,72.74,9.0,yes,post_graduate,9999999.0,sometimes,not_reported,0.76,pass,2025.0,March,17.0,Monday,16.11809565095832
unknown,18.0,11,A,80.0,100.0,36.0,65.17,17.0,no,not_reported,115000.0,no,asthma,0.78,pass,2022.0,February,5.0,Saturday,11.652696102959753
male,17.0,10,A,27.0,77.0,82.0,88.82,20.0,yes,post_graduate,95000.0,sometimes,not_reported,0.95,fail,2024.0,July,18.0,Thursday,11.461642696843066
female,16.0,12,D,5.0,67.0,9.0,85.03,36.0,yes,graduate,10000.0,sometimes,diabetes,0.07,fail,2024.0,July,18.0,Thursday,9.210440366976517
male,17.0,11,A,64.0,52.0,31.0,93.35,39.0,no,not_reported,9999999.0,yes,depression,0.29,pass,2018.0,May,8.0,Tuesday,16.11809565095832
female,18.0,10,A,31.0,23.0,23.0,61.49,22.0,no,graduate,170000.0,sometimes,not_reported,0.86,fail,2025.0,November,30.0,Sunday,12.04355959836804
female,15.0,12,D,16.0,93.0,81.0,64.78,31.0,no,graduate,65000.0,sometimes,diabetes,0.73,fail,2020.0,April,23.0,Thursday,11.082157933374816
unknown,17.0,11,A,64.0,9.0,42.0,59.58,25.0,yes,post_graduate,55000.0,sometimes,not_reported,0.3,pass,2022.0,May,20.0,Friday,10.915106645867503
female,17.0,11,A,38.0,99.0,0.0,90.39,20.0,yes,high_school,145000.0,sometimes,anxiety,0.49,pass,2020.0,July,31.0,Friday,11.884495917930655
unknown,16.0,12,A,8.0,38.0,93.0,45.11,7.0,yes,high_school,145000.0,sometimes,not_reported,0.77,pass,2024.0,August,2.0,Friday,11.884495917930655
female,17.0,10,D,32.0,49.0,48.0,89.99,10.0,no,post_graduate,70000.0,no,not_reported,0.88,fail,2021.0,November,20.0,Saturday,11.156264806643742
unknown,16.0,12,C,89.0,90.0,78.0,98.22,21.0,no,graduate,155000.0,no,anxiety,0.88,fail,2018.0,September,19.0,Wednesday,11.951186847493476
male,17.0,11,D,68.0,85.0,25.0,61.1,15.0,no,not_reported,95000.0,no,not_reported,0.73,fail,2020.0,December,4.0,Friday,11.461642696843066
male,17.0,11,A,93.0,28.0,43.0,75.38,10.0,no,high_school,20000.0,yes,not_reported,0.75,pass,2022.0,February,11.0,Friday,9.90353755128617
male,17.0,11,A,81.0,39.0,50.0,65.85,27.0,no,post_graduate,45000.0,sometimes,not_reported,0.59,pass,2022.0,July,20.0,Wednesday,10.714439990727769
male,17.0,11,D,28.0,51.0,61.0,98.68,4.0,yes,not_reported,105000.0,yes,asthma,0.83,fail,2020.0,July,26.0,Sunday,11.561725152903833
female,17.0,11,B,42.0,7.0,4.0,99.82,23.0,yes,graduate,25000.0,yes,depression,0.64,fail,2019.0,July,6.0,Saturday,10.12667110305036
male,16.0,12,B,15.0,58.0,58.0,98.71,8.0,yes,not_reported,110000.0,sometimes,asthma,0.41,fail,2019.0,March,1.0,Friday,11.608244735642321
male,17.0,10,B,57.0,79.0,78.0,79.36,12.0,yes,graduate,175000.0,sometimes,not_reported,0.33,pass,2018.0,July,5.0,Thursday,12.07254696717504
unknown,16.0,12,B,43.0,50.0,35.0,62.51,30.0,yes,graduate,95000.0,no,not_reported,0.44,fail,2020.0,April,25.0,Saturday,11.461642696843066
unknown,16.0,12,A,88.0,30.0,80.0,70.9,11.0,yes,not_reported,35000.0,sometimes,not_reported,0.57,pass,2021.0,September,16.0,Thursday,10.463131911491967
male,17.0,10,D,98.0,35.0,28.0,44.85,3.0,no,not_reported,195000.0,sometimes,not_reported,0.58,fail,2018.0,May,1.0,Tuesday,12.180759965737863
female,16.0,12,A,98.0,14.0,80.0,89.68,16.0,no,post_graduate,35000.0,sometimes,not_reported,0.35,fail,2025.0,June,10.0,Tuesday,10.463131911491967
male,17.0,11,B,99.0,41.0,21.0,81.37,9.0,yes,not_reported,140000.0,sometimes,not_reported,0.05,pass,2024.0,July,13.0,Saturday,11.849404844423074
female,17.0,11,D,81.0,35.0,80.0,46.33,18.0,yes,graduate,55000.0,sometimes,diabetes,0.75,pass,2019.0,May,18.0,Saturday,10.915106645867503
female,15.0,12,C,2.0,21.0,62.0,78.84,25.0,yes,not_reported,195000.0,yes,not_reported,0.95,pass,2019.0,August,1.0,Thursday,12.180759965737863
male,15.0,12,B,18.0,88.0,19.0,75.47,30.0,yes,not_reported,15000.0,sometimes,diabetes,0.93,pass,2024.0,January,24.0,Wednesday,9.61587214452889
female,16.0,12,B,17.0,77.0,67.0,46.32,10.0,yes,graduate,75000.0,no,not_reported,0.53,pass,2024.0,April,6.0,Saturday,11.225256725762893
female,16.0,12,B,16.0,43.0,65.0,73.41,20.0,yes,not_reported,105000.0,sometimes,anxiety,0.3,fail,2021.0,December,15.0,Wednesday,11.561725152903833
